,net,con,reductionType,variation,it,meanAA,stdAA,meanSpike,stdSpike,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
8,1,1,1,1,8,1409.0740740740698,5296.10040041757,80.752,20.9350064724136,16.1504,4.18700129448272,1.296,0.7767007145612779,5.36022146460342,2.7458581006022698,1.1875
9,1,1,1,1,9,1537.2962962963,5308.9553492059795,84.396,22.918620900918103,16.8792,4.58372418018362,1.412,0.833124240434763,5.29834983480581,2.81306432613261,1.1875
0,1,1,1,2,0,1017.46913580247,3802.15796454053,99.4,26.3394760767939,19.88,5.267895215358791,1.6512,0.9502518403034009,5.72539545545611,2.7057272208344303,1.0625
1,1,1,1,2,1,981.308641975309,3762.8347228723296,125.728,33.7311431173033,25.1456,6.746228623460669,2.3832,1.30336401668912,6.230270857411179,2.22700679329775,1.0125
2,1,1,1,2,2,1212.40740740741,4648.72133163566,104.69200000000001,28.703678091840402,20.9384,5.74073561836809,1.9152,1.0374627511385701,6.11783780017712,2.64564795063763,1.0875
3,1,1,1,2,3,1039.2962962963,4031.7906184747294,114.21600000000001,28.9927119117891,22.8432,5.79854238235783,2.1928,1.17974071727647,5.591974137766661,2.06803531226151,1.1125
4,1,1,1,2,4,1138.4814814814802,4365.829665643189,110.596,26.971110173665398,22.1192,5.39422203473309,2.1232,1.0561163572258498,6.63404288699602,2.7259498615780497,1.1375
5,1,1,1,2,5,1054.7530864197502,4178.44202618562,112.64399999999999,29.4535102152528,22.5288,5.89070204305056,2.1319999999999997,1.07882157931699,5.83910874659202,2.05003716178112,1.0375
6,1,1,1,2,6,1298.34567901235,5057.2917462246505,92.18,24.893766287968603,18.436,4.97875325759371,1.5536,0.9516759112218821,4.90915455642833,2.38970107592552,1.0375
7,1,1,1,2,7,1116.59259259259,4542.59478733471,117.96799999999999,31.664727631861897,23.5936,6.33294552637238,2.1736,1.20562972756979,5.91292579312924,2.24924348446128,1.0125
8,1,1,1,2,8,1193.5061728395099,4561.28357807225,95.124,25.4507489870141,19.0248,5.0901497974028205,1.4736,0.8651607018352141,4.664886748322191,2.3931310130496497,1.1125
9,1,1,1,2,9,1240.45679012346,4884.15201846656,98.76,26.8770236447416,19.752,5.37540472894832,1.6216,0.9264196889099449,5.0752721878568305,2.19886306778337,0.9875
0,1,2,1,0,0,1407.6049382716,5153.9421677602795,92.564,26.332449639180897,18.5128,5.26648992783619,1.6024,0.87406764040319,6.39869575000157,3.1305361083337004,0.7625
1,1,2,1,0,1,1241.83950617284,4953.24951939656,89.14,22.547736028257898,17.828,4.50954720565158,1.472,0.875771659737857,4.95216726606726,2.58093751244458,0.775
