,net,con,param_F,param_G,it,MeanAA,StdAA,MeanSp,StdSp,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
0,1,0,2,1,0,2036.21495327103,6730.48323941439,238.892,69.78464255120889,47.7784,13.956928510241802,4.9632,2.5814580686116098,6.707102450857151,1.74882406991211,1.5283018867924532
1,1,0,2,1,1,1832.1682242990698,6344.36217084729,225.66400000000002,63.9322696609467,45.1328,12.7864539321893,4.62,2.37831873389586,6.3511261529361,1.64445229622253,1.3679245283018868
2,1,0,2,1,2,1995.2616822429898,6624.51270976234,216.65599999999998,60.8993404233576,43.3312,12.179868084671499,4.2808,2.2617584663265897,6.47324791981124,1.4946303276764599,1.4245283018867925
3,1,0,2,1,3,1880.6261682242998,6320.98938269458,235.984,66.72426653025121,47.1968,13.344853306050197,4.896,2.55913735465684,6.71576005122069,1.62616256099044,1.4433962264150944
4,1,0,2,1,4,1915.7289719626199,6241.29492400519,249.05200000000002,75.5400906539038,49.8104,15.108018130780803,5.0984,2.74629886210514,5.95751666409274,1.6286246129910502,1.4433962264150944
5,1,0,2,1,5,1861.4766355140198,6254.0800504543795,238.584,68.5233021971358,47.7168,13.7046604394272,4.8592,2.54634156389122,6.53482035519713,1.55989733037384,1.3679245283018868
6,1,0,2,1,6,2004.14018691589,6338.94756949124,250.87599999999998,70.94615298943279,50.1752,14.189230597886601,5.4192,2.78836714942634,6.4852155012597095,1.42269275982418,1.3773584905660377
7,1,0,2,1,7,2149.4953271028,6909.98656743468,232.604,64.8298633655818,46.5208,12.9659726731164,4.8872,2.53586990202573,6.09894774334012,1.38697072798431,1.481132075471698
8,1,0,2,1,8,2319.3831775700896,6838.33309284426,276.232,77.48260563507141,55.2464,15.4965211270143,6.5504,3.33741514349054,7.57290372288023,1.76854718563811,1.7075471698113207
9,1,0,2,1,9,2013.22429906542,6439.23499593449,239.416,69.5265916322669,47.8832,13.905318326453399,5.0616,2.66957027253451,7.286331180664781,2.05065634678084,1.5471698113207548
0,1,1,2,1,0,2486.5046728972,7380.30849262006,263.152,73.23759209586291,52.6304,14.647518419172599,6.0520000000000005,2.9055560569364305,6.32071525459052,1.2882849864186998,1.8301886792452833
1,1,1,2,1,1,2479.95327102804,7429.63840755223,244.856,64.7116934100785,48.9712,12.9423386820157,5.2616,2.5172456058160098,6.12867421659417,1.2802567538158702,1.858490566037736
2,1,1,2,1,2,2338.34579439252,7366.640042511941,244.18400000000003,68.42384192662671,48.8368,13.6847683853253,5.2832,2.6988808347164905,6.47779348326338,1.55589625134855,1.6886792452830188
3,1,1,2,1,3,2481.1495327102803,7831.80803035729,231.09599999999998,62.902136561487296,46.2192,12.580427312297498,4.8272,2.32073698639031,6.153681903289679,1.4798261511148798,1.8773584905660377
4,1,1,2,1,4,2557.46728971963,7869.451776221509,209.472,58.711917154867294,41.8944,11.742383430973499,3.928,1.9865789689816,6.32279775342395,1.6068166078790802,1.5943396226415094
5,1,1,2,1,5,2195.98130841121,6820.63471295019,229.49599999999998,61.4547149045539,45.8992,12.290942980910803,4.7256,2.3317771420099302,6.88320683348264,1.6250685422751598,1.6698113207547167
6,1,1,2,1,6,2768.65420560748,7259.99871926922,240.112,67.0425794253175,48.0224,13.408515885063501,5.0096,2.53555276813558,6.758467310606691,1.6476229553259598,2.0188679245283017
7,1,1,2,1,7,2320.33644859813,7222.290492743191,244.516,66.0947331033268,48.9032,13.2189466206654,5.1,2.4758836806279905,6.43639332252589,1.5653914203493797,1.69811320754717
8,1,1,2,1,8,2398.1495327102803,7410.51442688683,235.808,64.3857370541023,47.1616,12.8771474108205,4.9616,2.43135465121812,6.55510788968038,1.52327924876506,1.7735849056603774
9,1,1,2,1,9,2284.06542056075,7321.87359872595,242.396,66.3200662243336,48.4792,13.2640132448667,5.0704,2.46968901686022,6.38201588700847,1.48540862298516,1.8396226415094337
0,1,2,2,1,0,2305.41121495327,7647.084880965859,222.06400000000002,62.559506903427604,44.4128,12.5119013806855,4.56,2.3384781375929102,6.43153560282323,1.7271175481252599,1.5943396226415094
1,1,2,2,1,1,2141.69158878505,7277.431283251851,219.172,59.237947432368095,43.8344,11.847589486473598,4.368,2.1956174530186297,6.20277829315601,1.57602843240058,1.5471698113207548
2,1,2,2,1,2,2559.42990654206,7844.119436903929,262.644,71.3042864349683,52.5288,14.2608572869937,5.7488,2.71233083527803,6.752486364286099,1.5425364489348603,1.7358490566037736
3,1,2,2,1,3,2474.4953271028,7520.1635227471415,234.44799999999998,64.6600285802597,46.8896,12.9320057160519,4.8088,2.44996378748748,6.3745912185041105,1.4722497396249699,1.7547169811320755
4,1,2,2,1,4,2431.6355140186897,7771.67477517396,236.392,63.7601626095794,47.2784,12.7520325219159,4.8672,2.3490517576247703,6.23373313116377,1.4612204657116101,1.7264150943396226
5,1,2,2,1,5,2136.8504672897197,6852.92377851152,235.896,61.881541545116704,47.1792,12.376308309023301,5.048,2.5099354573375,6.858419747548809,1.5390467048098702,1.6037735849056605
6,1,2,2,1,6,2174.2803738317803,6912.4899294099705,252.75599999999997,66.395184042218,50.5512,13.279036808443598,5.472,2.6626783508339904,6.7831901470583,1.5805703920230298,1.7547169811320755
7,1,2,2,1,7,2379.1588785046697,6914.006323546961,250.676,64.5228875981229,50.1352,12.9045775196246,5.4784,2.76809202159177,7.053518494906549,1.61703629480021,1.7641509433962264
8,1,2,2,1,8,2431.71028037383,7567.097103884291,271.552,75.2261609814033,54.3104,15.045232196280699,6.3736,3.07778216253197,7.007219890037,1.53676528049119,1.7735849056603774
9,1,2,2,1,9,2191.3831775700896,6798.71784592522,243.18400000000003,62.1007418957294,48.6368,12.420148379145902,5.343999999999999,2.47381163389616,6.796539973711281,1.5086308472710401,1.8396226415094337
0,2,0,2,1,0,5807.82242990654,9633.6600888129,462.76800000000003,159.25966901887,92.5536,31.851933803774,16.8912,7.77964540065934,21.546063874437102,4.7176046927557005,4.245283018867925
1,2,0,2,1,1,5510.6074766355105,10040.1289373977,435.408,150.975711741988,87.0816,30.1951423483977,14.4552,7.99841940385724,7.33978295298797,1.3537377403888,3.9433962264150937
2,2,0,2,1,2,6316.635514018691,10197.0716809852,483.39599999999996,171.043828254632,96.6792,34.2087656509264,17.4296,8.059652836195859,21.5923187497593,4.73512026229837,4.59433962264151
3,2,0,2,1,3,6005.289719626171,9445.012333580251,541.964,196.202208713358,108.3928,39.2404417426715,20.452,9.239048435850961,22.356400345814098,4.51699611185252,4.537735849056603
4,2,0,2,1,4,6087.532710280369,10338.8210740974,511.668,183.193640107947,102.3336,36.6387280215894,18.3576,10.0567490890446,7.27692542324123,1.26266921597627,4.245283018867925
5,2,0,2,1,5,6553.635514018691,9627.01348609954,618.86,225.731221588862,123.772,45.1462443177724,23.5848,12.47073730619,8.067398671900849,1.43807463484399,5.10377358490566
