,net,con,in,ex,it,meanAA,stdAA,meanSpike,stdSpike,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
8,2,1,60,70,8,6839.83177570094,10060.518495664499,676.18,246.51317936369998,135.236,49.3026358727401,27.044,13.7680145264305,8.776383256343559,1.5131349664764,5.19811320754717
9,2,1,60,70,9,7081.906542056079,9753.52279472159,710.044,257.118000272249,142.0088,51.4236000544497,27.9824,11.824070798164199,23.6447008981945,4.9059208060712,5.169811320754717
0,2,2,60,70,0,6488.186915887851,9280.23104986585,690.8480000000001,261.067410635644,138.1696,52.2134821271288,25.7664,11.105608990055401,27.005586372988702,5.54289363988687,4.90566037735849
1,2,2,60,70,1,6808.66355140187,9422.71631267928,788.836,309.153193585316,157.7672,61.83063871706321,30.8456,13.759069759253302,23.529146053042304,5.2888531570045,5.358490566037736
2,2,2,60,70,2,6485.9626168224295,9745.73338606425,715.32,274.814005465515,143.064,54.962801093102996,28.3856,12.9181094839764,22.2657357988764,4.99390030739064,4.943396226415095
3,2,2,60,70,3,5742.52336448598,9095.34285404523,635.528,243.02623976846598,127.1056,48.6052479536932,24.7616,11.3508046164138,21.694981803734102,4.59121739332738,4.39622641509434
4,2,2,60,70,4,6223.327102803741,9016.700144239829,648.16,246.67294622637502,129.632,49.334589245275005,24.8224,11.1267236076035,23.4449790106752,5.3164895522751,4.622641509433962
5,2,2,60,70,5,6768.271028037379,9652.55530408951,790.924,310.061152394169,158.1848,62.0122304788338,32.84,17.7793858161636,8.068929624635361,1.5172475254716102,5.235849056603773
6,2,2,60,70,6,7444.6542056074795,9871.698826521591,787.752,308.169178367987,157.5504,61.6338356735974,31.4104,14.0147141190964,23.562122441201,4.7575851520366905,5.556603773584905
7,2,2,60,70,7,7946.68224299065,10096.057673826801,855.9760000000001,340.26183950599,171.1952,68.052367901198,33.8024,15.150313338013802,23.7578608309591,5.187740773319031,6.037735849056604
8,2,2,60,70,8,6263.3738317757,9558.786559797421,645.184,243.1540214432,129.0368,48.6308042886399,23.9752,10.6668170022739,25.6892617517623,5.8141931699088,4.584905660377358
9,2,2,60,70,9,6752.0,10313.8517773905,674.284,263.58586332351,134.8568,52.717172664702,25.476,11.788217168003,23.8950376535679,5.14631576999208,4.886792452830188
0,0,0,70,70,0,1597.5700934579402,6186.095916948349,320.368,95.40863994418949,64.0736,19.081727988837898,8.0488,4.17635469758018,7.61638799998593,1.5367521542494198,1.0660377358490567
1,0,0,70,70,1,1551.19626168224,5816.6200151577505,322.344,94.7116976091127,64.4688,18.9423395218225,8.3936,4.13104817691588,7.58452073841277,1.4690744412404702,1.1037735849056605
