,net,con,y_astro,it,BurstD0,BurstD1,BurstD2,BurstD3,BurstD4,BurstD5,MeanNrActivationsPerAstrocyte
231,1.0,2.0,0.05,1.0,44.72,13.65329557286445,5.3824,2.4086532004421057,37.63575272220262,11.844298849691985,1.6132075471698113
232,1.0,2.0,0.05,2.0,44.7736,13.775646011712118,5.132000000000001,2.472572749182519,34.137256824868935,10.511226532815208,1.4528301886792452
233,1.0,2.0,0.05,3.0,44.9544,13.709138581253018,5.4144,2.6315228746868233,29.42341376035957,9.38082725166284,1.6226415094339623
234,1.0,2.0,0.05,4.0,43.6672,13.810058803640194,5.1256,2.5002529152067794,29.156792310513566,9.412033532048456,1.4433962264150944
235,1.0,2.0,0.05,5.0,46.47039999999999,13.76603951178406,5.7864,2.6665886521921602,32.257265774949424,9.347129652380302,1.5471698113207548
236,1.0,2.0,0.05,6.0,46.4144,14.241329735667241,5.8224,2.762342889650016,29.920964116866692,8.985185343881732,1.6226415094339623
237,1.0,2.0,0.05,7.0,42.6184,12.166477774606747,5.0744,2.332188808823162,31.63171625071085,9.593370281167331,1.6037735849056605
238,1.0,2.0,0.05,8.0,40.288000000000004,11.138715186232206,4.2744,1.9646640018079429,26.26758630174823,9.115392103906244,1.4528301886792452
239,1.0,2.0,0.05,9.0,40.0472,12.164900828202427,4.5432,2.148518968964435,28.335135151708368,9.404606615042,1.4150943396226414
240,2.0,0.0,0.05,0.0,46.9352,16.820562444817355,6.199199999999999,3.328831530732669,25.666477826467155,7.874858953742755,2.3679245283018866
241,2.0,0.0,0.05,1.0,53.7528,19.177991869849144,7.5192,3.88923017575458,27.725300066939457,8.189256716491087,2.9150943396226414
242,2.0,0.0,0.05,2.0,51.1984,18.17334304524074,7.164,3.7483841852190127,27.348860494061228,7.956821590287737,2.547169811320755
243,2.0,0.0,0.05,3.0,52.7912,19.15242654495769,4.8176000000000005,1.2024018629393418,854.6799866084056,294.3493444065698,2.537735849056604
244,2.0,0.0,0.05,4.0,48.3976,17.222204105166096,6.4992,3.6446233495383296,21.11491916637223,6.654385848751201,2.349056603773585
245,2.0,0.0,0.05,5.0,44.4536,15.373738876408694,5.6968,3.083593643786418,22.513750804955386,7.824199589139464,2.4716981132075477
246,2.0,0.0,0.05,6.0,51.6816,18.38850242515686,7.1944,3.8624925423876224,25.70799116388903,7.19345395094445,2.660377358490566
247,2.0,0.0,0.05,7.0,47.56160000000001,16.448517423768013,6.24,3.301781337399556,22.8673779824135,6.8059935150370885,2.4339622641509435
248,2.0,0.0,0.05,8.0,46.6816,16.4422109656822,6.240799999999999,3.2753282827832693,26.09564109059063,7.922330830582544,2.188679245283019
249,2.0,0.0,0.05,9.0,52.29040000000001,18.641733498792433,7.402399999999999,3.911275270292287,28.450858502581028,7.967007328970578,2.811320754716981
250,2.0,1.0,0.05,0.0,71.50399999999999,25.566060001494176,11.2232,5.446461398008802,31.756555307332906,7.990748610329543,2.8867924528301887
251,2.0,1.0,0.05,1.0,62.2752,21.638508843263672,9.7312,4.975305675031434,22.708621723947672,5.709342220447997,2.292452830188679
252,2.0,1.0,0.05,2.0,71.35600000000001,25.27140011950268,11.6832,5.553099833426372,29.809778973778414,7.604882177668651,2.5754716981132075
253,2.0,1.0,0.05,3.0,61.50560000000001,21.406026456117445,9.1568,4.619269829745822,27.560675333936054,7.165013667489573,2.3301886792452833
254,2.0,1.0,0.05,4.0,67.75280000000001,24.05347068844744,10.7344,5.3213096733792895,29.70764440890925,7.63599329415259,2.349056603773585
255,2.0,1.0,0.05,5.0,64.45039999999999,23.106290482031078,9.8384,5.0269479249341735,25.418582029720802,6.833045645676371,2.292452830188679
256,2.0,1.0,0.05,6.0,70.28960000000001,25.523528984840635,11.527999999999999,5.76274379093848,25.270887263887573,6.354138837065491,2.537735849056604
257,2.0,1.0,0.05,7.0,79.4616,29.300810320535504,13.1288,6.281188626366829,33.360861258044054,8.004641622988629,3.0283018867924527
258,2.0,1.0,0.05,8.0,63.67439999999999,22.18057674272696,10.004,4.919396710979915,26.617481813361522,6.750207693460614,2.2169811320754715
259,2.0,1.0,0.05,9.0,59.47039999999999,21.19083962093055,8.7464,4.428002601625252,27.349615231652727,6.67032353253536,2.0188679245283017
260,2.0,2.0,0.05,0.0,65.8544,25.18819248457499,9.9832,5.3964319471295115,29.178961218884325,8.622294007621663,2.3679245283018866
261,2.0,2.0,0.05,1.0,64.8296,23.48079563898975,9.8136,4.968570724061398,30.50229321322943,8.800784341592136,2.556603773584906
262,2.0,2.0,0.05,2.0,62.87280000000001,23.301803796272942,9.8552,5.113995791941953,25.95270137989709,7.019750315235538,2.349056603773585
263,2.0,2.0,0.05,3.0,67.13600000000001,25.324847561239142,10.48,5.361014829302377,30.385344646423658,8.179345777904949,2.89622641509434
264,2.0,2.0,0.05,4.0,70.124,27.24699733915647,11.2904,5.913806544012071,27.224154796457114,7.312716579571818,2.6320754716981134
265,2.0,2.0,0.05,5.0,57.9616,21.798505578135394,8.556000000000001,4.827502874157611,24.66630955485179,7.0451176721997175,2.160377358490566
266,2.0,2.0,0.05,6.0,60.268,22.312099318531192,9.2528,4.926606556241324,26.225992884678888,6.934740330846858,2.7735849056603774
267,2.0,2.0,0.05,7.0,53.5424,19.65835909327124,7.859199999999999,4.267197600299287,22.227315516546756,6.385257602243082,2.179245283018868
268,2.0,2.0,0.05,8.0,63.0432,24.22127440412663,9.5744,5.009397632450433,31.11487046714868,7.951631660053943,2.4150943396226414
269,2.0,2.0,0.05,9.0,77.2144,28.27202349744355,12.495999999999999,6.124108424905621,32.65402189138233,7.941507649887273,2.707547169811321
270,0.0,0.0,0.075,0.0,55.3784,17.701851130319678,7.4088,3.4750428141247407,32.886935199501494,8.520344758610396,1.018867924528302
271,0.0,0.0,0.075,1.0,63.4896,19.896652277204822,9.3032,4.206631640636009,33.336022131120885,8.149537024986637,1.0849056603773586
272,0.0,0.0,0.075,2.0,58.21360000000001,18.542836218874392,8.2256,3.7780821378048417,37.09333245536174,9.698331276591519,1.160377358490566
273,0.0,0.0,0.075,3.0,60.1632,19.39644312135604,8.6112,4.0965002819479945,33.894860050374646,8.790451578907346,1.0943396226415094
274,0.0,0.0,0.075,4.0,61.7392,18.842916530091614,8.8624,3.858531617079223,38.02879011754912,8.842158977927335,1.0377358490566038
275,0.0,0.0,0.075,5.0,62.523999999999994,19.690821821346105,8.878400000000003,4.007065439944799,42.30560425506524,11.291715543364225,1.0660377358490567
276,0.0,0.0,0.075,6.0,68.43520000000001,22.773227284686733,10.2696,4.578221908121099,43.14831941872285,10.717580881257373,1.2075471698113207
277,0.0,0.0,0.075,7.0,59.7768,18.473010089316798,8.636800000000001,3.725791964133264,33.474754250702354,8.798848549551806,0.9245283018867924
278,0.0,0.0,0.075,8.0,54.009600000000006,16.61558508870512,7.492000000000001,3.412262592474383,33.10962274796341,9.69945833582644,1.0
279,0.0,0.0,0.075,9.0,58.8472,17.994821815177833,8.308,3.8191957268514014,35.88115084333731,10.00532659481077,1.0377358490566038
280,0.0,1.0,0.075,0.0,62.7592,19.24682870916661,9.0768,3.9249995872611247,42.09597253206274,10.639495403396275,0.8490566037735849
281,0.0,1.0,0.075,1.0,63.2272,19.216107310274886,9.1088,3.8741402349424576,39.81020454177093,10.191659223038805,0.9528301886792452
282,0.0,1.0,0.075,2.0,68.4752,21.013521955160208,10.0504,4.364275408358186,41.503060365797786,10.083617181567432,1.0377358490566038
283,0.0,1.0,0.075,3.0,70.3216,21.506827135586505,10.7936,4.479245365014067,38.24539787099295,9.739556832324816,0.9245283018867924
284,0.0,1.0,0.075,4.0,70.98,21.857848018503557,10.5296,4.276877814481026,48.508343168541785,11.73778685748233,0.981132075471698
285,0.0,1.0,0.075,5.0,60.48560000000001,18.50920291746784,8.487200000000001,3.893614793479191,33.67319085488761,9.518743915896325,0.7830188679245284
286,0.0,1.0,0.075,6.0,65.92,20.376472707512452,10.0344,4.464071755695691,34.221816848197705,8.570719765190491,0.8490566037735849
287,0.0,1.0,0.075,7.0,56.5152,15.975766928695474,8.004,3.3638287709097208,30.101601916694566,7.78426734612379,0.7452830188679245
288,0.0,1.0,0.075,8.0,54.9048,16.926251119488924,7.4912,3.4253178772195727,29.780348965660647,8.343122408980419,0.8867924528301887
289,0.0,1.0,0.075,9.0,60.66159999999999,18.90344004248962,8.639199999999999,3.725187694600099,42.17770497432178,11.103575291085258,0.7358490566037735
290,0.0,2.0,0.075,0.0,44.428000000000004,14.728367730335902,5.74,2.802299056132304,34.448255452113145,10.249046102728109,1.6132075471698113
291,0.0,2.0,0.075,1.0,47.3032,15.581519494580753,6.0936,3.147220843855734,30.68314872804117,9.570153504323061,1.660377358490566
292,0.0,2.0,0.075,2.0,37.9432,12.61227869022882,4.0896,2.1673882531747743,20.772974097536075,7.211134709593044,1.4622641509433962
293,0.0,2.0,0.075,3.0,53.9416,16.90947040684598,7.3312,3.414051341148812,32.176943156829594,7.785212878396061,1.8207547169811318
294,0.0,2.0,0.075,4.0,44.8616,15.658062633672149,5.747999999999999,2.9241641540789054,31.514700806476256,10.189559000189261,1.4528301886792452
295,0.0,2.0,0.075,5.0,43.72,15.015128371079614,5.3152,2.818199595486452,28.011861625583645,8.894640891053136,1.3679245283018868
296,0.0,2.0,0.075,6.0,44.2336,14.674042082534726,5.4736,2.9244936382218367,20.642482731871578,6.701186981545671,1.6226415094339623
297,0.0,2.0,0.075,7.0,47.0432,15.489590496846585,5.9952000000000005,2.920379591765427,32.07719951000351,9.961000576985453,1.6320754716981132
298,0.0,2.0,0.075,8.0,45.7408,15.400332962634282,5.9248,2.917880216869774,32.30402898600837,10.172049407873798,1.7641509433962264
299,0.0,2.0,0.075,9.0,42.38,14.35216778051316,3.5568,0.8496903906718024,1443.3569079259642,604.6976152519402,1.5377358490566038
300,1.0,0.0,0.075,0.0,41.6112,13.458720390884118,4.9776,2.5555856941218,34.20173679397422,11.066120822801674,1.339622641509434
301,1.0,0.0,0.075,1.0,40.556,12.284265708620927,4.504,2.30499978308025,25.607010934040517,9.36128081715118,1.2735849056603774
